0.0  Oh , that ’ s right . Go ahead anyways . I ’ ll fill him in . We can ’ t lose this order under any circumstances ! 	1.0  I know , it ’ s a big one . 
0.0  Yes , here you are . 	1.0  Thank you . Do you want your money back ? 
0.0 This is your profile. During the dialog pretend to be this person	1.0 my favorite color is navy blue.
0.0 i work fulltime in a shipyard.	1.0 
0.0 i donate a part of my salary to charity each month.	1.0 
0.0 i volunteer my time with a local bunny rescue.	1.0 
0.0 look man   long walks are just my thing  	1.0 Have you met taylor swift?
0.0 I need to book at taxi to take me from the Fez Club to the Cambridge Punter.	1.0 Sure! when would you like to arrive?
0.0  Could you please tell me about the cabins ? 	1.0  Yes , all the cabins are fit for two . 
0.0 I am needing this for Sunday for 5 people, if the booking fails could you please book for 4 nights. Also can I have the reference number?	1.0 Yes, let me book that for you.
0.0 There are 4 people. I would like it to be on Monday and arrive by 15:15.	1.0 I was able to book your table. Your reference number is FFFW4HLE .
0.0 That will be fine.	1.0 Is there anything else that I can help you with today?
0.0 Ok, can I please book a table for 6 people at 11:15 on the same day?	1.0 Your table is booked for 6 on Saturday, at 11:15 and your reference number is J3HEUVPJ . Thank You, goodbye.
0.0 What are you going to school for?	1.0 finance
0.0 I'm going from Ely to Cambridge.	1.0 What time would you like to leave by?
0.0  Yeah , this place looks great . Wow , look at her , she can certainly get down , can't she ? 	1.0  She sure can . Are you jealous , Leslie ? 
0.0 John , it ’ s time to get up . 	1.0  It can ’ t be time to get up yet . 
0.0  Yes , sir . What would you like ? 	1.0  Orange juice , scrambled eggs , bacon , toast and coffee . 
0.0  Oh , I ’ m sorry . But this isn ’ t a no-smoker , isn ’ t it ? I mean would you mind if I smoke here ? 	1.0  Actually it is . Perhaps you haven ’ t noticed the sign . 
0.0 I would also like to find a korean restaurant	1.0 little seoul is found in the center of town and is in the expensive price range. could you like a reservation?
0.0 that would be beautiful . i love the outdoors . hawaii has so much nature .. Also, try to guess: i played football ...	1.0 at high school ?
0.0 I need to leave on Thursday and get there by 9:15, is that OK?	1.0 Yes. There are two available trains. One leaves at 5:29 and arrives by 6:07 and the other leaves by 7:29 and arrives by 8:07. Which would you prefer?
0.0 I'll be departing from Cambridge, and would like to leave on Tuesday.	1.0 I have train TR3343 arriving at london kings cross tuesday at 7:00. Shall I book that for you?
0.0 Just 1 night would be perfect. Thank you.	1.0 Before booking the hotel I need to know how many days will you stay?
0.0 Address please and thats all.	1.0 They are located at 138 perne road.
0.0 Yes, can i book it for 4 people.	1.0 Okay, I've booked 4 tickets. Your reference number is FBZ6Z3NH . Can I help with anything else?
0.0 Is there an entrance fee?	1.0 No there isn't. Kettle's yard is completely free.
0.0 Thank you. I am also looking for a Chinese restaurant with the same price range as my hotel. Can you help me with that?	1.0 There are 4 moderately priced Chinese restaurants to choose from. Would you prefer to dine in the north or centre?
0.0 Would you please make a skirt for me with this material please ? 	1.0  What kind of style do you want ? 
0.0 I will be going from the museum to the restaurant.	1.0 Do you know what time you would like to arrive since our system is down for booking the restaurant?
0.0 i just came from a swim . i've been swimming since a baby	1.0 Do you like reading books?
0.0 I like to read books on my spare time	1.0 Do you know familiar persons?
0.0 what kind?	1.0 I am a music buff. I like to play the music.
0.0 This one is too small . Please bring me a bigger one . 	1.0  OK . 
0.0 I will be leaving from Ely.	1.0 What time would you like to depart?
0.0 i am also looking for a restaurant in centre of town serving british food	1.0 There are several is there a certain price range you are looking for?
0.0 Can I get the travel time and departure time on that?	1.0 Of course. The TR8363 would leave at 16:40 and arrive at 17:08. It would of course cost 8.08 pounds per ticket, and it would be a 28 minutes ride.
0.0 Yes, the postcode would be great, thanks.	1.0 The postcode is cb21ad.
0.0  I see . I'll follow your instructions . 	1.0  And take a good rest for a few days . 
0.0 thats it. stop talking	1.0 😟
0.0 I also need a train leaving on Friday. I will be departing from Birmingham New Street and going to Cambridge. I would like to arrive by 16:30.	1.0 TR6359 leaves at 13:40 and arrives 16:23, will this one work for you?
0.0  We have a guy who plays guitar , and another who plays bass . Although we still haven ’ t found anyone to be our singer . You told me that you had some musical talent , right ? 	1.0  Yes , I ’ m a singer . 
0.0 Okay, can I please have the phone number?	1.0 Certainly, the phone number is 01223248882. Is there anything else I can do? Reserve a table for you, perhaps?
0.0 Not really. Do any of those have free parking? If so may I have their phone number?	1.0 How about Archway House? Their number is 01223575314. Can I help you with anything else?
0.0  You can only view the apartment with an appointment . 	1.0  I would like to make one right now if I can . 
0.0 Yes, please. Do either have free wifi?	1.0 Both of the guesthouses have free wifi and free parking. I would recommend the Aylesbray Lodge Guest House due to it being 4 stars.
0.0 That is cool. I am a big couch surfer. Do you live in a house🏠?	1.0 yes a life in house and my life dream is to work at home, dont go outside, just staying at home and working
0.0 i m good 🆗 just watching game of thrones it is my favorite	1.0 Time to give me 5 stars :)
0.0 Ikebana , it's an art of flowers and it's quite different from Western style flower arrangement because in Ikebana's theory you can decorate one flower , only with one flower . 	1.0  What's another Japanese art ? 
0.0 hi , just got back from my shift at the restaurant . how are you ?	1.0 good man it is a sunny day
0.0 Yes, I'd love to eat somewhere that serves British food so I can get the full experience, you know?	1.0 I have 4 different choices that serve British food. All are moderately priced. If you don't mind, I would like to recommend the Oak Bistro. They are excellent.
0.0  Now the score is in our favor . 	1.0  Can you tell which team seems to win ? 
0.0  The good thing is you don't need to go to school . 	1.0  Yeah , I love that , no class , no homework , and no exams . 
0.0 That is fine. I need 6 tickets please.	1.0 Sorry, I made a mistake, the train Id is actually TR2077. i did get that booked for you though. the total fee is 79.19 GBP payable at the station .
0.0 Yes, please. I need the phone number and the postcode, please.	1.0 The phone number is 01223333516 and the postcode is cb23dz. Is there anything else I can help you with, with regard to the museum or anything else?
0.0 i dont think so. i think thats all. take care. bye.	1.0 Thank you for contacting us and have a nice day.
0.0  That's true . What kind of safety features are we talking about ? 	1.0  This model features anti-lock brakes , airbags on both driver and passenger sides , and impact collision design . But that's not all . This car isn't only safe but it's also very economical . 
0.0  Well , I want to earn more . 	1.0  I see . 
0.0  I don't want to go all the way home just to eat . 	1.0  Well , I guess you're out of luck . 
0.0 Please recommend me an expensive restaurant that serves afghan food.	1.0 I'm not finding any restaurants that match your request. Would you like to try a different price range or food type?
0.0  Putting on mascara . 	1.0  Nasty . You'd better not rub your eyes . 
0.0 Thank you. I also need a taxi two commute between the hotel and restaurant.	1.0 Ok great and what time do you prefer?
0.0 I am looking for a restaurant. The restaurant should serve modern american food and should be in the centre	1.0 I'm sorry, we don't have any restaurants like that in the centre.
0.0 What museums are there?	1.0 There is broughton house gallery located in the centre or cambridge artworks located in the east. Both are free. Do either work for you?
0.0  Sorry , what was your last name again ? 	1.0  Green , G-R-E-E-N , but just call me Mary . 
0.0 No as long as it leaves any time after 13:00 for 6 please and I need the reference number	1.0 I have a number of trains available, what is your place of departure and your destination, please?
0.0 I need a hotel in the west with free parking please.	1.0 Do you care about the price range? I have one cheap and one expensive hotel that fits your current criteria.
0.0 I need a place to stay in Cambridge. I'm looking for a hotel with 0 stars.	1.0 Is there a certain area you would like to be in?
0.0 Let's do something outdoors today . 	1.0  All right . But I don't want to play tennis . We played tennis last weekend . 
0.0 Yes please. I need it to be for 5 people and 4 nights starting on Sunday.	1.0 You are all set, the reference number is ZS2OUTXD
0.0  I forgot something on the table . 	1.0  Oh , you've got a good memory . 
0.0 Take me to this address , please . 	1.0  Yes , Ma'am . Here we are . 
0.0 A meat eater. I love meat.😁	1.0 All sorts so you eat kangaroo?
0.0 No thanks, I don't need anything else right now. Have a great day though!	1.0 You, too. Thank you for calling. Goodbye.
0.0 I need a taxi to get there and will leave the restaurant by 16:15. Can you get me the contact number and car type?	1.0 Yes I have white Lexus picking you up at 16:15. The contact number for the taxi is 07932069775. Anything else?
0.0  What was your speed then ? 	1.0  40 miles per hour . 
0.0  May I have your room number , please ? 	1.0  505 . 
